id_cliente,nome,sobrenome,email,genero,data_nascimento,data_cadastro,telefone
1,Maria,Almeida,maria.almeida1@modaficticia.com.br,Feminino,1969-04-05,2024-06-04 18:47:57,(91) 921395-7912
2,Maria,Oliveira,maria.oliveira2@modaficticia.com.br,Feminino,1967-04-17,2024-05-01 16:12:45,(91) 964987-4611
3,Alexandre,Almeida,alexandre.almeida3@modaficticia.com.br,Masculino,2005-01-25,2024-02-23 14:21:17,(31) 938221-6514
4,Juliana,Gomes,juliana.gomes4@modaficticia.com.br,Feminino,1960-06-28,2024-03-20 12:51:02,(81) 980284-3045
5,Lucas,Dias,lucas.dias5@modaficticia.com.br,Masculino,1972-11-20,2024-03-19 11:45:04,(11) 996673-4733
6,Lucas,Ribeiro,lucas.ribeiro6@modaficticia.com.br,Masculino,1960-07-09,2024-04-21 13:10:23,(61) 937460-5374
7,Sabrina,Costa,sabrina.costa7@modaficticia.com.br,Feminino,1988-12-08,2024-02-15 14:17:59,(91) 938785-6313
8,Tatiane,Santos,tatiane.santos8@modaficticia.com.br,Feminino,2005-06-13,2024-03-03 11:58:36,(61) 937869-9179
9,Rodrigo,Lima,rodrigo.lima9@modaficticia.com.br,Masculino,1970-03-08,2024-06-18 16:16:47,(71) 986484-7543
10,André,Lima,andré.lima10@modaficticia.com.br,Masculino,1986-08-03,2024-01-28 09:09:40,(31) 999192-7916
11,Isabela,Gomes,isabela.gomes11@modaficticia.com.br,Feminino,1992-08-17,2024-03-18 08:43:46,(21) 999353-9797
12,Eduardo,Souza,eduardo.souza12@modaficticia.com.br,Masculino,1972-07-06,2024-04-01 19:56:46,(51) 975612-3927
13,Larissa,Barbosa,larissa.barbosa13@modaficticia.com.br,Feminino,1992-04-05,2024-03-25 10:34:49,(91) 910074-6310
14,Carlos,Souza,carlos.souza14@modaficticia.com.br,Masculino,1977-05-08,2024-01-08 17:05:05,(81) 919071-9727
15,Patricia,Mendes,patricia.mendes15@modaficticia.com.br,Feminino,1989-03-09,2024-05-28 17:27:13,(91) 936365-6107
16,Rafael,Carvalho,rafael.carvalho16@modaficticia.com.br,Masculino,1987-08-04,2024-02-08 09:21:01,(91) 940161-4608
17,Juliana,Santos,juliana.santos17@modaficticia.com.br,Feminino,1968-02-02,2024-03-03 16:15:17,(81) 938080-9834
18,Vanessa,Castro,vanessa.castro18@modaficticia.com.br,Feminino,1984-04-26,2024-04-26 14:12:06,(21) 996374-8062
19,Diego,Martins,diego.martins19@modaficticia.com.br,Masculino,1983-12-02,2024-06-21 18:06:03,(71) 954473-2790
20,Renata,Fernandes,renata.fernandes20@modaficticia.com.br,Feminino,1988-08-05,2024-04-06 12:29:15,(21) 968082-2604
21,Raquel,Silva,raquel.silva21@modaficticia.com.br,Feminino,1959-04-06,2024-04-16 15:13:55,(71) 917685-3697
22,Carlos,Gomes,carlos.gomes22@modaficticia.com.br,Masculino,1970-08-10,2024-04-23 19:50:35,(81) 930289-4111
23,Bruno,Santos,bruno.santos23@modaficticia.com.br,Masculino,1991-12-18,2024-01-24 13:03:03,(81) 975909-9701
24,Ana,Barbosa,ana.barbosa24@modaficticia.com.br,Feminino,1959-03-03,2024-05-03 18:55:15,(71) 925713-5033
25,Sabrina,Oliveira,sabrina.oliveira25@modaficticia.com.br,Feminino,1980-11-19,2024-05-17 13:59:16,(41) 997782-6147
26,Camila,Gomes,camila.gomes26@modaficticia.com.br,Feminino,1962-11-21,2024-03-15 13:59:48,(21) 911220-8508
27,Juliana,Dias,juliana.dias27@modaficticia.com.br,Feminino,1967-09-09,2024-02-12 09:56:15,(61) 947353-3584
28,Marcelo,Nunes,marcelo.nunes28@modaficticia.com.br,Masculino,1993-11-17,2024-01-22 16:19:59,(21) 927601-5333
29,Fernanda,Dias,fernanda.dias29@modaficticia.com.br,Feminino,1963-05-10,2024-05-07 19:21:13,(51) 976244-9004
30,Pedro,Oliveira,pedro.oliveira30@modaficticia.com.br,Masculino,1994-07-27,2024-03-02 08:21:49,(31) 993507-5291
31,Luana,Dias,luana.dias31@modaficticia.com.br,Feminino,1999-07-18,2024-01-04 09:56:44,(31) 981511-1590
32,Alexandre,Dias,alexandre.dias32@modaficticia.com.br,Masculino,1963-07-05,2024-01-10 13:57:59,(11) 956898-4441
33,Fernanda,Rodrigues,fernanda.rodrigues33@modaficticia.com.br,Feminino,2003-09-28,2024-04-20 19:09:59,(41) 931299-3900
